2025-10-28 10:00:00 | 1 | Win | 1500
2025-10-27 15:30:00 | 2 | Defeat | 500
2025-10-28 00:16:15 | 4 | Defeat | 900
2025-10-28 00:29:19 | 4 | Defeat | 0
2025-10-28 00:31:21 | 4 | Defeat | 0
2025-10-28 00:31:42 | 1 | Win | 500
2025-10-28 00:40:32 | 4 | Defeat | 0
2025-10-28 01:36:06 | 4 | Defeat | 0
2025-10-28 01:39:23 | 1 | Win | 500
2025-10-28 01:40:38 | 4 | Defeat | 0
2025-10-28 01:40:55 | 1 | Win | 500
2025-10-28 01:41:14 | 1 | Win | 1000
2025-10-28 01:43:57 | 4 | Defeat | 0
2025-10-28 01:44:10 | 1 | Win | 500
2025-10-28 01:44:27 | 1 | Win | 1000
2025-10-28 09:55:38 | 1 | Win | 500
2025-10-28 10:19:55 | 1 | Win | 500
2025-10-28 10:23:33 | 1 | Win | 500
2025-10-28 10:29:36 | 1 | Win | 500
2025-10-28 10:45:28 | 4 | Defeat | 0
2025-10-28 10:49:48 | 4 | Defeat | 0
2025-10-28 10:50:22 | 1 | Win | 500
2025-10-28 10:59:28 | 1 | Win | 500
2025-10-28 10:59:49 | 1 | Win | 1000
